"BehaviorSpace results (NetLogo 6.2.0)"
"TECSecurityUI-V2021-05-28.nlogo"
"nu_of_neighborhoods_4_6_8"
"06/06/2021 23:04:33:614 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","co2-tax-increase-rate","information-exchange-period","Insulation-Inputting","rewire-prob","no-of-neighborhoods","number-of-links","neighborhood-size","Value-Inputting","climate-change-scenario","gas-price-increase-scenario","annual-subsidy-budget","percentage-loss-per-svo","[step]","mean community-formation-time-list","mean energy-diversity","insulation-improvement","total-costs-per-household","direct-net-benefits-per-household","indirect-net-benefits-per-household","total-co2-per-household"
"93","0.002","7","false","0.02","6","2","700","false","high temperature rise","0.01","4","15","239","37","0.335","0.5421428571428573","59.64748280108313","27.337383949739625","0.1064395463800068","130.43295836142104"
"94","0.002","7","false","0.02","6","2","700","false","high temperature rise","0.01","4","15","239","39","0.34833333333333333","0.538095238095238","57.326288690576895","29.324335980450652","0.1186443620941759","129.6944257706826"
"96","0.002","7","false","0.02","6","2","700","false","high temperature rise","0.01","4","15","239","67","0.3416666666666666","0.5480952380952377","48.45392388428438","40.544674554274906","0.13863141427565182","132.91253517348161"
"99","0.002","7","false","0.02","6","2","700","false","high temperature rise","0.01","4","15","239","51","0.28833333333333333","0.5519047619047619","53.66381923508305","33.2597651462048","0.08069512775359443","130.91027976966393"
"98","0.002","7","false","0.02","6","2","700","false","high temperature rise","0.01","4","15","239","37","0.31833333333333336","0.5495238095238095","59.59210748436462","27.20213614374405","0.09645102231677499","130.35147709003996"
"100","0.002","7","false","0.02","6","2","700","false","high temperature rise","0.01","4","15","239","41","0.33166666666666667","0.5352380952380953","57.19202675603547","29.320578321718262","0.10736898649349627","129.71294384817236"
"101","0.002","7","false","0.02","8","2","700","false","high temperature rise","0.01","4","15","239","41.5","0.35","0.5264285714285717","56.731933124741964","29.898738685017502","0.09349584138154797","130.1596455855637"
"106","0.002","7","false","0.02","8","2","700","false","high temperature rise","0.01","4","15","239","37","0.34500000000000003","0.5246428571428572","58.03859636955353","28.81363481482744","0.09444248004119658","130.4599508704063"
"102","0.002","7","false","0.02","8","2","700","false","high temperature rise","0.01","4","15","239","40","0.35124999999999995","0.5383928571428571","56.77128986498147","30.3171195388339","0.10634834508730791","130.6011047624407"
"104","0.002","7","false","0.02","8","2","700","false","high temperature rise","0.01","4","15","239","37","0.3225","0.5425","59.12397313188888","27.014025529003025","0.10118763174844077","129.24796033626126"
"103","0.002","7","false","0.02","8","2","700","false","high temperature rise","0.01","4","15","239","37","0.3225","0.5528571428571429","59.766731021474115","27.197206657248266","0.10022011473605374","130.53343902472338"
"105","0.002","7","false","0.02","8","2","700","false","high temperature rise","0.01","4","15","239","55","0.34375","0.5428571428571427","63.12159951402304","24.886329638515697","0.08085674919244355","132.5491340513698"
"108","0.002","7","false","0.02","8","2","700","false","high temperature rise","0.01","4","15","239","79","0.33999999999999997","0.5541071428571431","51.35364270971299","38.509889183869824","0.17765224117277825","133.43208834866758"
"107","0.002","7","false","0.02","8","2","700","false","high temperature rise","0.01","4","15","239","37","0.3025","0.5578571428571428","59.24777856274498","27.307596730918245","0.1075562041514857","129.77056202808095"
